bootstrap_unit,ci95_high,ci95_low,density,half_width,mean,method,method_label,metric,n_bootstrap,n_seeds
shared evaluation seed,0.24965773154961626,0.21067467103814777,0.04938271604938271,9.0,0.23010152279216622,crdf,Current-radius feedback,radius_command_temporal_variation,2000,50
shared evaluation seed,0.0,0.0,0.04938271604938271,9.0,0.0,crdf,Current-radius feedback,radius_min_saturation_fraction,2000,50
shared evaluation seed,0.0015236318407960197,0.0011940298507462687,0.04938271604938271,9.0,0.0013557213930348259,crdf,Current-radius feedback,radius_max_saturation_fraction,2000,50
shared evaluation seed,2.2137506218905467,2.064188743781094,0.04938271604938271,9.0,2.1407587064676616,crdf,Current-radius feedback,mean_degree_error,2000,50
shared evaluation seed,5.6803801305970145,5.175320429104477,0.04938271604938271,9.0,5.417226368159204,crdf,Current-radius feedback,mean_degree_error_sq,2000,50
shared evaluation seed,0.28609609374999995,0.24327265625000002,0.04938271604938271,9.0,0.2649375,crdf,Current-radius feedback,radius_oscillation_frequency,2000,50
shared evaluation seed,0.0,0.0,0.03305785123966942,11.0,0.0,crdf,Current-radius feedback,final_fragmentation,2000,50
shared evaluation seed,0.004085820895522388,0.0,0.03305785123966942,11.0,0.0013619402985074627,crdf,Current-radius feedback,mean_fragmentation,2000,50
shared evaluation seed,0.98625,0.94125,0.03305785123966942,11.0,0.96625,crdf,Current-radius feedback,final_largest_scc_fraction,2000,50
shared evaluation seed,0.9809359452736318,0.9336895211442787,0.03305785123966942,11.0,0.9607649253731343,crdf,Current-radius feedback,mean_largest_scc_fraction,2000,50
shared evaluation seed,3.7758429726368163,3.626571517412935,0.03305785123966942,11.0,3.6977300995024875,crdf,Current-radius feedback,mean_degree,2000,50
shared evaluation seed,5.761006741836624,5.653327970842922,0.03305785123966942,11.0,5.708732672587177,crdf,Current-radius feedback,mean_radius,2000,50
shared evaluation seed,105.88267525112407,101.9958116375927,0.03305785123966942,11.0,103.95140248811204,crdf,Current-radius feedback,mean_interaction_area,2000,50
shared evaluation seed,0.008737812499999999,0.0075621874999999995,0.03305785123966942,11.0,0.008150000000000001,crdf,Current-radius feedback,neighbor_loss_rate,2000,50
shared evaluation seed,0.9856001191404348,0.9726621815001403,0.03305785123966942,11.0,0.9799147049465735,crdf,Current-radius feedback,polar_order,2000,50
shared evaluation seed,0.004904520542398758,0.004165979912934299,0.03305785123966942,11.0,0.004508841824979472,crdf,Current-radius feedback,velocity_dispersion,2000,50
shared evaluation seed,0.009087511338314865,0.008444274993523288,0.03305785123966942,11.0,0.008764079178273394,crdf,Current-radius feedback,control_energy,2000,50
shared evaluation seed,0.03105335306385167,0.027155753729619057,0.03305785123966942,11.0,0.029033511999214858,crdf,Current-radius feedback,radius_temporal_variation,2000,50
shared evaluation seed,0.3616346707406634,0.30165782549288567,0.03305785123966942,11.0,0.3317345686782356,crdf,Current-radius feedback,radius_command_temporal_variation,2000,50
shared evaluation seed,0.0,0.0,0.03305785123966942,11.0,0.0,crdf,Current-radius feedback,radius_min_saturation_fraction,2000,50
shared evaluation seed,0.0028109452736318407,0.0023507462686567166,0.03305785123966942,11.0,0.0025808457711442782,crdf,Current-radius feedback,radius_max_saturation_fraction,2000,50
shared evaluation seed,2.881237717661692,2.755084732587065,0.03305785123966942,11.0,2.81896144278607,crdf,Current-radius feedback,mean_degree_error,2000,50
shared evaluation seed,9.043148631840795,8.371792288557213,0.03305785123966942,11.0,8.701162935323383,crdf,Current-radius feedback,mean_degree_error_sq,2000,50
shared evaluation seed,0.29987671875,0.2580734375,0.03305785123966942,11.0,0.2788625,crdf,Current-radius feedback,radius_oscillation_frequency,2000,50
shared evaluation seed,0.0,0.0,0.02040816326530612,14.0,0.0,crdf,Current-radius feedback,final_fragmentation,2000,50
shared evaluation seed,0.028628109452736267,0.0038743781094527363,0.02040816326530612,14.0,0.013911691542288558,crdf,Current-radius feedback,mean_fragmentation,2000,50
shared evaluation seed,0.91875,0.8387187500000001,0.02040816326530612,14.0,0.87875,crdf,Current-radius feedback,final_largest_scc_fraction,2000,50
shared evaluation seed,0.8855415111940299,0.811254975124378,0.02040816326530612,14.0,0.8481654228855722,crdf,Current-radius feedback,mean_largest_scc_fraction,2000,50
shared evaluation seed,2.9870984141791044,2.8462024253731344,0.02040816326530612,14.0,2.9170273631840797,crdf,Current-radius feedback,mean_degree,2000,50
shared evaluation seed,6.439183654242842,6.286251753135669,0.02040816326530612,14.0,6.362449559814628,crdf,Current-radius feedback,mean_radius,2000,50
shared evaluation seed,132.17975405883837,125.99208741659585,0.02040816326530612,14.0,129.15015890931608,crdf,Current-radius feedback,mean_interaction_area,2000,50
shared evaluation seed,0.00525,0.00453125,0.02040816326530612,14.0,0.0048875,crdf,Current-radius feedback,neighbor_loss_rate,2000,50
shared evaluation seed,0.9714297811465743,0.9512469127864938,0.02040816326530612,14.0,0.9623825072344292,crdf,Current-radius feedback,polar_order,2000,50
