method,method_label,seed,n_density_cells,density_cell_mean_final_fragmentation,density_cell_mean_mean_fragmentation,density_cell_mean_final_largest_scc_fraction,density_cell_mean_mean_largest_scc_fraction,density_cell_mean_mean_degree,density_cell_mean_mean_radius,density_cell_mean_mean_interaction_area,density_cell_mean_radius_temporal_variation,density_cell_mean_radius_command_temporal_variation,density_cell_mean_neighbor_loss_rate,density_cell_mean_contact_break_rate,density_cell_mean_control_energy
density_oracle,Global-density oracle,20031,5,0.0,0.011256218905472636,1.0,0.9873134328358208,5.7123134328358205,6.908923921296707,154.7838720548711,0.004698891668284987,0.010866876900652798,0.0033750000000000004,0.0034375000000000005,0.007922179196783511
density_oracle,Global-density oracle,20032,5,0.0,0.06442786069651742,1.0,0.932089552238806,4.472512437810946,6.934891255548415,155.8100427483837,0.002917250704406322,0.010328008437216938,0.0043749999999999995,0.0045625,0.01003559616254514
density_oracle,Global-density oracle,20033,5,0.0,0.033582089552238806,1.0,0.9664179104477612,5.14912935323383,6.933731327685109,155.7910269972799,0.0033695836208908125,0.010585842543825002,0.003125,0.0032500000000000003,0.01092326256744208
density_oracle,Global-density oracle,20034,5,0.0,0.004664179104477612,1.0,0.9952114427860697,5.41797263681592,6.918754750097852,155.1951101561554,0.0038074979377705946,0.011018952857523226,0.0021874999999999998,0.00225,0.006900021761576778
density_oracle,Global-density oracle,20035,5,0.0,0.005410447761194029,1.0,0.994589552238806,4.534950248756219,6.941177035613421,156.11048671916285,0.0024133687547575043,0.010293727420670067,0.0041875,0.0044375,0.010655926894300335
density_oracle,Global-density oracle,20036,5,0.0,0.00043532338308457713,1.0,0.9995646766169154,4.976554726368159,6.924374514654245,155.3798710283118,0.0032216965391288835,0.010488468742333688,0.0034375000000000005,0.003875,0.01111675634858671
density_oracle,Global-density oracle,20037,5,0.0,0.08190298507462687,1.0,0.9180970149253731,4.917164179104478,6.9335497728859625,155.7876299488551,0.002760287361011805,0.01026446750968398,0.0036875,0.0040625,0.008442455358195029
density_oracle,Global-density oracle,20038,5,0.1,0.04583333333333334,0.9,0.9541666666666666,4.832151741293532,6.9273067846145295,155.4953279583647,0.0029970369578944493,0.01100353765291602,0.005124999999999999,0.0054375,0.009093744444983069
density_oracle,Global-density oracle,20039,5,0.0,0.009888059701492537,1.0,0.9901119402985075,5.915547263681592,6.915283444993536,155.0990148083998,0.003939282760921098,0.011508964648624262,0.0025,0.002625,0.00816534724695433
density_oracle,Global-density oracle,20040,5,0.0,0.008955223880597014,1.0,0.991044776119403,5.093781094527364,6.9188975809378945,155.1761002275028,0.0035296380363052096,0.010886607982599834,0.0040625,0.0043749999999999995,0.008347571237438194
density_oracle,Global-density oracle,20041,5,0.0,0.0022388059701492534,1.0,0.9977611940298508,4.823072139303482,6.93372605423112,155.79774915058647,0.002885266393369992,0.010549047059809842,0.0032500000000000003,0.0034375000000000005,0.01077657701495675
density_oracle,Global-density oracle,20042,5,0.0,0.007711442786069651,1.0,0.9909203980099501,4.49452736318408,6.93718443895592,155.88181944049413,0.002865510390115216,0.009403112379841297,0.0030625,0.003125,0.011274714989527503
density_oracle,Global-density oracle,20043,5,0.0,0.012437810945273632,1.0,0.9873756218905474,5.805037313432836,6.905417908787814,154.66101098710936,0.005188581457835551,0.011247249984560842,0.0033750000000000004,0.0035625000000000006,0.0121814037807047
