bootstrap_unit,ci95_high,ci95_low,comparison,density,geometry,median_difference,metric,n_agents,n_pairs,paired_mean_difference,positive_fraction
shared held-out evaluation seed,0.0006666666666666665,-0.0006354166666666666,crdf - ALF,0.0204,clustered,0.0,neighbor_loss_rate,16,30,-2.3491047070519264e-20,0.4666666666666667
shared held-out evaluation seed,-0.0020729684908789387,-0.01865671641791045,crdf - ALF,0.0204,clustered,0.0,radius_max_saturation_fraction,16,30,-0.010364842454394695,0.0
shared held-out evaluation seed,0.26666666666666666,0.03333333333333333,crdf - ALF,0.0204,clustered,0.0,episode_failure,16,30,0.13333333333333333,0.13333333333333333
shared held-out evaluation seed,-4.5517703138481803e-07,-1.1746869192780214e-05,crdf - ALF,0.0204,clustered,-6.19778125042104e-06,controller_wall_s_per_agent_step,16,30,-6.22973958345104e-06,0.36666666666666664
shared held-out evaluation seed,0.06458333333333334,-0.035416666666666666,crmf - ALF,0.0204,clustered,0.0,final_fragmentation,16,30,0.014583333333333334,0.06666666666666667
shared held-out evaluation seed,0.03720097429519071,-0.0649290008291874,crmf - ALF,0.0204,clustered,0.0,mean_fragmentation,16,30,-0.012603648424543944,0.3
shared held-out evaluation seed,0.04598958333333333,-0.01315298507462687,crmf - ALF,0.0204,clustered,0.0,mean_largest_scc_fraction,16,30,0.013070066334991703,0.43333333333333335
shared held-out evaluation seed,0.10338204809286901,-0.05956571310116064,crmf - ALF,0.0204,clustered,0.06156716417910468,mean_degree,16,30,0.024212271973466107,0.6333333333333333
shared held-out evaluation seed,-0.5226023537055344,-1.2253980595023175,crmf - ALF,0.0204,clustered,-0.5180324570400485,degree_variance,16,30,-0.8437882364710444,0.06666666666666667
shared held-out evaluation seed,0.0010814323851848049,-4.377770443090037e-05,crmf - ALF,0.0204,clustered,4.85441527320041e-05,radius_temporal_variation,16,30,0.00045388004471581014,0.5333333333333333
